,診療情報管理士,教職,プログラマ,システムエンジニア,Webデザイン,データサイエンティスト,AI開発者,ネットワーク管理者,セキュリティアナリスト,ITコンサルタント,ITサポート・ヘルプデスク,未定
情報処理論,4,1,7,8,9,2,4,5,4,4,4,8
プログラミング応用,1,1,4,4,7,1,2,3,2,2,3,5
データ処理入門,2,0,3,3,2,1,1,2,1,2,1,5
情報化社会論,2,1,6,6,8,2,4,5,3,3,3,8
ネットワーク技術Ⅰ,1,0,4,4,3,1,3,2,1,1,1,6
ネットワークの構築と運用,1,0,4,5,4,1,3,3,2,1,2,3
ウェブデザイン,1,0,5,4,6,1,2,3,3,3,3,5
アルゴリズム論,0,1,6,6,8,2,4,5,3,2,2,5
システム設計論,0,0,1,1,1,0,1,0,0,0,0,1
プログラミング応用演習,0,0,1,0,2,0,0,1,0,0,0,3
データベース演習,0,0,2,3,4,1,1,1,2,2,1,3
インターネットと法,0,0,1,1,1,1,1,1,1,1,1,2
ウェブコンテンツ実践,0,0,4,3,5,1,2,3,2,1,1,4
情報と職業,0,0,3,3,6,0,1,1,1,1,1,6
情報セキュリティ,0,0,1,1,1,1,1,1,1,1,1,3
システム開発技術(IoT),0,0,0,0,1,0,0,0,0,0,0,0
産業情報論,0,0,0,0,1,0,0,0,0,0,0,4
ネットワーク技術Ⅱ,0,0,0,0,0,0,0,0,0,0,0,1
経営情報論,0,0,0,0,0,0,0,0,0,0,0,1
